COUNTY_ID,COUNTY_NAME,DISTRICT_ID,DISTRICT_NAME,VAXADMIN,RTCUMVAXADMIN,PERSONVAX,PCTCUMPVAX,PERSONCVAX,PCTCUMPCVAX
13255,Spalding County,04-0,4 LaGrange,28418,43515,16196,24.8,12548,19.2
13257,Stephens County,02-0,2 North (Gainesville),12743,49487,6910,26.8,5896,22.9
13259,Stewart County,07-0,7 West Central (Columbus),2412,38328,1352,21.5,1076,17.1
13261,Sumter County,07-0,7 West Central (Columbus),18115,60254,9871,32.8,8311,27.6
13263,Talbot County,07-0,7 West Central (Columbus),3276,51827,1845,29.2,1468,23.2
13265,Taliaferro County,06-0,6 East Central (Augusta),702,43575,401,24.9,327,20.3
13267,Tattnall County,09-2,9-2 Southeast (Waycross),8819,34745,5151,20.3,4165,16.4
13269,Taylor County,07-0,7 West Central (Columbus),4173,51416,2322,28.6,1898,23.4
13271,Telfair County,05-1,5-1 South Central (Dublin),4223,26336,2397,14.9,1937,12.1
13273,Terrell County,08-2,8-2 Southwest (Albany),5400,61806,2959,33.9,2482,28.4
13275,Thomas County,08-2,8-2 Southwest (Albany),24567,55045,13454,30.1,11439,25.6
13277,Tift County,08-1,8-1 South (Valdosta),18495,45620,10155,25,8564,21.1
13279,Toombs County,09-2,9-2 Southeast (Waycross),10429,38666,6131,22.7,5112,19
13281,Towns County,02-0,2 North (Gainesville),8645,74416,4620,39.8,4087,35.2
13283,Treutlen County,05-1,5-1 South Central (Dublin),2202,32406,1236,18.2,997,14.7
13285,Troup County,04-0,4 LaGrange,24950,35684,14125,20.2,11415,16.3
13287,Turner County,08-1,8-1 South (Valdosta),4149,52234,2316,29.2,1894,23.8
13289,Twiggs County,05-2,5-2 North Central (Macon),4192,50941,2365,28.7,1905,23.1
13291,Union County,02-0,2 North (Gainesville),15539,66725,8374,36,7388,31.7
13293,Upson County,04-0,4 LaGrange,13758,52439,7569,28.8,6258,23.9
13295,Walker County,01-1,1-1 Northwest (Rome),26332,38140,14994,21.7,12001,17.4
13297,Walton County,10-0,10 Northeast (Athens),41440,45318,23781,26,18445,20.2
13299,Ware County,09-2,9-2 Southeast (Waycross),15570,43744,8710,24.5,7160,20.1
13301,Warren County,06-0,6 East Central (Augusta),2462,46479,1380,26.1,1105,20.9
13303,Washington County,05-2,5-2 North Central (Macon),8698,42562,4856,23.8,3996,19.6
13305,Wayne County,09-2,9-2 Southeast (Waycross),11668,39170,6661,22.4,5531,18.6
13307,Webster County,07-0,7 West Central (Columbus),1380,52873,751,28.8,625,23.9
13309,Wheeler County,05-1,5-1 South Central (Dublin),2056,25933,1149,14.5,969,12.2
13311,White County,02-0,2 North (Gainesville),13388,45399,7411,25.1,6233,21.1
13313,Whitfield County,01-2,1-2 North Georgia (Dalton),49928,47898,28488,27.3,22304,21.4
13315,Wilcox County,05-1,5-1 South Central (Dublin),3248,36808,1814,20.6,1478,16.7
13317,Wilkes County,06-0,6 East Central (Augusta),4411,44809,2477,25.2,2045,20.8
13319,Wilkinson County,05-2,5-2 North Central (Macon),5401,59944,3009,33.4,2479,27.5
13321,Worth County,08-2,8-2 Southwest (Albany),10063,49102,5505,26.9,4757,23.2
99999,Unknown,NA,NA,908509,8732,551484,5.3,380212,3.7
